word,mean_RT_ms,mean_accuracy,length,log_frequency,AoA,OLD20,concreteness,contextual_diversity,OLD20F,orthographic_neighbourhood_n,mean_D_Zscore,n_rows,n_subjects
I,987.5,0.94,1,6.309317107,2.790163,1.55,3.93,3.922881091,9.967,5,0.89,2,2
a,587.0,0.73,1,6.017525817,2.893384,1.45,1.46,3.923399466,9.831,5,-0.823,1,1
abacus,619.0,0.47,6,1.113943352,8.69,2.9,4.52,1.041392685,7.391,0,-0.469,1,1
abandon,659.5,0.97,7,2.617000341,8.32,2.9,2.54,2.495544338,7.45,0,-0.395,2,2
abandonment,749.5,1,11,1.698970004,10.27,4.4,2.54,1.662757832,5.761,0,0.1,2,2
abase,750.0,0.69,5,0.602059991,14.57,1.8,,0.602059991,7.271,3,-0.364,1,1
abbey,1254.0,0.66,5,2.212187604,13.06,2.15,,1.73239376,7.169,1,1.118,1,1
abbot,923.5,0.71,5,1.643452676,12.104381,2.35,,1.397940009,7.678,0,-0.382,2,2
abbreviate,654.333,0.94,10,0.301029996,9.95,4.05,2.59,0.301029996,5.999,0,-0.23,3,3
abbreviated,801.667,0.94,11,1.230448921,10.5,4.2,3.1,1.176091259,6.251,1,-0.209,3,3
abbreviation,686.5,1,12,1.113943352,9.11,4,3.07,0.954242509,6.28,0,-0.482,2,2
abdicate,890.0,0.56,8,1,12.6,2.8,2.08,1,6.427,0,1.26,1,1
abdomen,1043.0,0.88,7,2.235528447,8.61,3,4.7,2.089905111,6.386,0,0.817,1,1
abdominal,824.333,0.94,9,2.243038049,10.24,3.75,4.28,2.021189299,6.114,0,-0.059,3,3
abduct,1187.0,0.88,6,1.568201724,11.26,2.5,2.88,1.51851394,7.661,0,0.421,2,2
abduction,708.0,0.94,9,2.269512944,11.94,2.7,3.07,2.049218023,7.883,0,-0.194,4,4
aberrant,2336.0,0.38,8,1.204119983,13.31,3.25,,1.146128036,6.594,0,2.276,1,1
aberration,514.0,0.62,10,1.462397998,12.69,2.85,,1.431363764,6.558,0,-0.34,1,1
abet,696.0,0.32,4,0.77815125,12.15,1.75,,0.77815125,8.782,4,-0.509,1,1
abhor,895.0,0.57,5,1.113943352,13.76,2.3,1.81,1.113943352,7.675,0,0.609,1,1
abhorrent,578.0,0.41,9,1,12.14,3.65,,1,6.31,0,-0.549,1,1
abide,679.0,0.94,5,2.1430148,9.5,1.7,1.68,2.096910013,7.774,3,-0.126,1,1
abiding,753.333,0.82,7,1.414973348,10.3,2.15,2.07,1.397940009,7.328,0,-0.474,3,3
ability,681.0,0.97,7,2.991669007,8.84,2.3,1.81,2.832508913,6.378,1,-0.206,3,3
abject,536.0,0.28,6,1.322219295,14,2.35,1.67,1.322219295,7.945,1,-0.372,1,1
ablaze,702.0,0.65,6,1.342422681,10.83,2.25,3.82,1.301029996,7.215,0,-0.309,1,1
able,586.0,1,4,3.911477217,7.79,1.5,2.38,3.632052167,7.614,3,-0.72,3,3
abnormal,627.333,1,8,2.173186268,10.05,3.1,2.14,2.11058971,6.879,0,-0.35,3,3
abnormality,1120.5,1,11,1.431363764,11.58,3.6,2.48,1.322219295,6.065,0,0.892,2,2
aboard,746.333,0.94,6,3.133219457,8.66217,2.3,3.97,2.851258349,7.4,1,-0.753,3,3
abode,1188.5,0.88,5,1.531478917,12.06,1.8,3.92,1.505149978,7.582,3,1.669,2,2
abolish,756.667,0.97,7,1.397940009,10.42,2.8,2.19,1.342422681,6.045,0,0.415,3,3
abolition,590.5,0.91,9,1.041392685,13.28,2.85,2.43,0.954242509,7.489,0,-0.482,2,2
abolitionist,1071.333,0.9,12,1.079181246,12.6,4.3,3.28,0.903089987,5.914,0,0.896,3,3
abominable,1371.5,0.93,10,1.51851394,8.94,3.45,1.89,1.414973348,5.989,1,2.482,2,2
abominate,1245.667,0.82,9,0.602059991,15,2.95,1.68,0.477121255,5.623,0,2.348,3,3
aboriginal,757.0,0.67,10,1,14.75,4,3.12,1,6.62,0,0.692,1,1
abort,942.333,0.97,5,2.372912003,12.21,1.95,2.83,2.075546961,8.061,1,-0.125,3,3
abortion,1074.5,0.97,8,2.568201724,13.21,2.55,3.41,2.193124598,7.046,0,0.485,2,2
abortionist,716.667,0.97,11,0.698970004,15,4.1,3.19,0.698970004,5.531,0,-0.17,3,3
abortive,1133.0,0.79,8,0.301029996,13.93,2.85,1.88,0.301029996,6.836,0,0.162,1,1
abound,743.667,0.91,6,1.278753601,11.65,1.85,2.27,1.230448921,8.605,1,-0.433,3,3
about,630.333,0.94,5,5.267657397,5.070761,1.85,1.77,3.920227711,7.669,1,-0.787,3,3
above,459.333,0.94,5,3.396896449,4.548568,1.95,3.33,3.250175948,7.669,1,-1.179,3,3
aboveground,935.0,0.94,11,0.903089987,8.05,4.65,4.03,0.903089987,6.269,0,0.362,4,4
abracadabra,764.0,0.65,11,1.73239376,6.89,5.95,2.04,1.431363764,6.262,0,1.636,1,1
abrasion,932.0,0.79,8,1.278753601,11.95,2.9,4.57,1.204119983,6.873,0,-0.073,2,2
abrasive,649.333,0.94,8,1.380211242,12.22,2.9,3.03,1.361727836,5.705,0,-0.614,3,3
abreast,661.333,0.94,7,1.431363764,13.06,2.7,2.23,1.414973348,7.293,0,0.083,3,3
abridged,1200.0,0.91,8,1,12.56,2.85,1.77,0.84509804,6.629,1,0.452,1,1
abroad,580.0,0.97,6,2.399673721,10.15415,2.55,2.72,2.309630167,7.413,0,-0.742,2,2
abrupt,823.667,1,6,1.770852012,10.95,2.7,2.27,1.755874856,7.768,0,0.512,3,3
abruptness,905.5,0.82,10,0.698970004,12.39,3.85,2.04,0.698970004,4.524,0,0.291,2,2
abscess,1035.0,0.58,7,1.414973348,13.11,2.7,4.48,1.342422681,7.159,0,0.574,1,1
abscond,754.0,0.26,7,0.77815125,13.36,2.95,,0.77815125,7.149,0,0.353,1,1
absence,667.75,0.97,7,2.509202522,7.7,2.65,2.31,2.456366033,7.259,0,-0.479,4,4
absent,762.5,1,6,2.120573931,6.5,1.95,2.7,2.049218023,6.556,1,0.539,2,2
absentee,873.0,0.85,8,1.278753601,11,2.95,3.29,1.278753601,6.574,1,0.369,3,3
absenteeism,1502.5,0.59,11,0.77815125,13.43,5.1,2.35,0.77815125,5.881,0,2.759,2,2
absolute,637.0,1,8,2.761927838,8.53,2.9,1.81,2.691965103,6.971,0,-0.549,1,1
absolutely,841.5,1,10,3.761175813,7.084934,3.85,1.97,3.517459827,6.075,0,-0.093,4,4
absoluteness,1119.333,0.97,12,0.301029996,12.68,4.55,1.5,0.301029996,5.015,0,0.711,3,3
absolution,610.0,0.8,10,1.69019608,11.71,2.75,1.78,1.643452676,7.572,0,-0.09,1,1
absolve,626.5,0.76,7,1.477121255,12.9,2.8,1.85,1.414973348,7.84,0,-0.371,2,2
absorb,705.0,0.97,6,2.008600172,8.83,2.55,3.11,1.968482949,7.423,0,-0.774,1,1
absorbent,707.5,0.91,9,0.954242509,10.32,3.1,3.1,0.954242509,5.542,0,0.103,2,2
absorber,1040.667,0.86,8,0.602059991,10.33,2.7,2.96,0.602059991,6.253,1,0.742,3,3
absorption,863.75,0.88,10,1.278753601,10.94,2.9,3.22,1.255272505,6.904,0,-0.132,4,4
abstain,946.0,0.88,7,1.431363764,12.95,2.75,2.38,1.301029996,7.517,0,-0.268,1,1
abstinence,1074.5,0.91,10,1.662757832,12.74,3.7,1.72,1.462397998,5.9,0,0.867,2,2
abstract,595.0,0.97,8,2.049218023,11.47,2.65,1.45,1.919078092,6.583,0,-0.539,2,2
abstraction,595.0,1,11,1.204119983,13.65,2.65,1.57,1.079181246,6.066,0,-0.747,1,1
abstruse,1555.5,0.45,8,0.602059991,14.6,3.45,,0.602059991,6.351,0,1.512,2,2
absurd,390.5,0.94,6,2.695481676,10.5,2.7,1.64,2.599883072,7.576,0,-0.988,2,2
absurdity,1362.0,0.94,9,1.51851394,13.21,3.75,1.25,1.505149978,6.167,0,1.232,2,2
abundance,807.0,0.97,9,1.662757832,10.45,3.55,2.21,1.62324929,6.713,0,-0.298,1,1
abundant,570.667,0.97,8,1.477121255,12.84,3.35,2.83,1.431363764,6.447,0,-0.212,3,3
abuse,799.0,0.97,5,2.719331287,8.61,1.8,2.71,2.612783857,7.742,2,-0.236,3,3
abusive,813.75,0.97,7,1.924279286,9.58,2.8,2.55,1.913813852,6.602,0,-0.011,4,4
abysmal,742.0,0.35,7,1.342422681,13.78,3.7,,1.278753601,6.729,0,-0.255,1,1
abyss,511.0,0.76,5,1.959041392,11,2.45,3.07,1.832508913,7.936,0,-0.743,5,5
academic,838.5,0.97,8,2.378397901,9.74,3.3,2.11,2.260071388,6.035,0,-0.227,2,2
academy,631.0,1,7,2.802089258,9.05,3.15,4.29,2.539076099,6.931,0,-0.463,2,2
accelerate,651.667,0.97,10,1.819543936,10.74,3.25,3.48,1.73239376,5.572,0,-0.386,3,3
accelerated,1337.5,0.94,11,1.698970004,10.11,3.35,3.18,1.633468456,5.871,1,0.292,2,2
acceleration,1059.333,0.91,12,1.653212514,9.84,3.2,2.97,1.579783597,6.368,0,0.258,3,3
accelerator,780.0,1,11,1.84509804,10.27,3.7,4.32,1.681241237,6.231,0,-0.234,3,3
accent,2095.5,1,6,2.793790385,8.6,1.85,3.26,2.651278014,8.141,2,2.48,2,2
accentuate,998.5,0.91,10,1.278753601,13.24,3.45,2,1.113943352,6.22,0,0.536,4,4
accept,515.667,0.97,6,3.430236353,6.74,2.35,3.03,3.269979677,7.502,1,-0.79,3,3
acceptable,590.5,0.97,10,2.431363764,9.84,3.6,1.93,2.387389826,6.193,1,-0.793,2,2
acceptance,1217.0,0.97,10,2.209515015,8.56,3.8,2.21,2.149219113,7.225,0,2.305,1,1
access,668.75,0.97,6,3.208441356,9.1,2,2.71,2.965671971,7.566,0,-0.524,4,4
accessible,578.0,1,10,1.755874856,9.94,3.75,1.8,1.707570176,7.273,0,-0.566,2,2
accessory,859.667,0.97,9,2.170261715,11.15,3.25,4.1,2.100370545,7.235,1,-0.333,3,3
accident,554.0,0.97,8,3.617734035,5.3,2.7,3.26,3.338655666,7.354,1,-0.688,3,3
accidental,772.5,0.97,10,2.187520721,6.75,3.35,2.17,2.130333768,6.796,1,-0.109,4,4
acclaim,1134.667,0.94,7,1.361727836,12.11,2.85,2.04,1.301029996,6.899,0,0.493,3,3
acclamation,800.0,0.77,11,0.301029996,14,3.4,2.23,0.301029996,6.508,1,1.677,1,1
acclimate,809.5,0.77,9,0.954242509,14.24,3.4,1.79,0.954242509,5.59,0,0.062,2,2
accolade,819.0,0.55,8,0.301029996,12.43,3.45,2.46,0.301029996,6.632,0,0.222,1,1
accommodate,824.5,1,11,2.041392685,9.9,4.1,1.86,2.029383778,6.814,0,0.001,2,2
accommodation,1231.0,0.97,13,1.69019608,9.58,4.05,2.96,1.662757832,6.651,0,0.25,4,4
accompaniment,1268.0,0.92,13,1.204119983,11.18,4.2,2.26,1.146128036,6.866,0,1.993,3,3
accompanist,1527.0,0.93,11,1.041392685,12.78,3.8,,0.954242509,6.859,0,1.901,3,3
accompany,601.5,0.91,9,2.385606274,10.75,3.7,3.07,2.330413773,7.714,0,-0.769,2,2
accomplice,855.5,0.97,10,2.336459734,9.78,3.65,3.34,2.170261715,7.646,0,-0.48,2,2
accomplish,1000.0,0.97,10,2.475671188,7.84,3.75,2.33,2.421603927,6.823,0,0.136,3,3
accomplishment,828.5,0.97,14,1.986771734,9,4.7,2.5,1.944482672,6.494,0,-0.017,2,2
accord,824.0,0.97,6,1.924279286,9.65,2.45,1.57,1.826074803,7.518,0,0.319,1,1
accordance,802.0,1,10,1.913813852,11.7527,3.75,1.54,1.826074803,7.323,0,-0.229,2,2
according,670.0,1,9,3.329601248,8.44903,2.7,1.63,3.196452542,7.025,0,-0.486,2,2
accordion,886.0,0.76,9,1.832508913,8.61,3.6,4.86,1.672097858,7.276,0,-0.332,1,1
accost,1200.5,0.76,6,0.602059991,13.37,2.45,,0.602059991,7.76,0,0.186,2,2
account,795.5,1,7,3.358125285,8.26,2.6,3.08,3.142076461,7.496,0,-0.246,2,2
accountability,619.5,1,14,1.397940009,12.16,5.45,1.55,1.255272505,5.462,0,0.0,2,2
accountable,775.8,0.97,11,1.86332286,11.7,3.95,2.21,1.819543936,5.944,1,-0.184,5,5
accountant,1083.333,0.94,10,2.499687083,11.67,3.6,4.41,2.283301229,6.889,0,0.809,3,3
accounting,721.5,1,10,2.36361198,12.05,2.7,3.27,2.255272505,6.863,0,-0.01,2,2
accreditation,1101.0,0.97,13,1,15.53,4.7,2.68,0.84509804,6.224,0,0.526,3,3
accredited,593.333,0.97,10,1.230448921,13.89,3.6,2.27,1.146128036,7.06,0,0.133,3,3
accrue,805.0,0.56,6,0.698970004,14.11,2.65,1.61,0.698970004,7.607,0,-0.009,2,2
accumulate,807.667,1,10,1.477121255,12.3,3.45,3,1.447158031,6.498,0,0.043,3,3
accumulation,1000.5,0.97,12,1.146128036,10.5,3.55,2.97,1.146128036,6.691,0,0.658,2,2
accuracy,907.0,1,8,1.886490725,9.71,3.6,1.85,1.819543936,7,0,-0.717,1,1
accurate,1022.0,1,8,2.603144373,9.44,2.75,1.9,2.537819095,5.787,0,0.019,2,2
accusation,780.333,0.97,10,2.158362492,10.17,2.95,2.38,2.11058971,6.746,0,0.031,3,3
accuse,820.333,1,6,2.463892989,9.1,2.25,2.25,2.369215857,7.444,0,0.322,3,3
